"","Code","Ground.Northing..m.","Ground.Easting..m.","Elevation..m.","Easting.SP","Northing.SP","Long","Lat"
"1","SET13",2105.70225,2034.54625,9.81025,256468.7365637,183992.8752847,-73.3254669,41.1163561
"2","SET14",2116.61625,2040.38475,9.8685,256480.5637925,183989.221859,-73.3253258,41.1163239
"3","SET15",2138.3705,2036.16075,9.8785,256501.1030425,183997.5237405,-73.3250819,41.1163999
"14","pt1",2160.155,2069.663,10.581,256528.891321952,183968.765175365,-73.3247488193229,41.116142533788
"15","pt1",2160.151,2069.668,10.58,256528.888353538,183968.759499444,-73.3247488542254,41.1161424824885
"16","pt1",2160.151,2069.668,10.581,256528.888353538,183968.759499444,-73.3247488542254,41.1161424824885
"17","pt1",2160.154,2069.668,10.581,256528.891297453,183968.760071992,-73.3247488192191,41.1161424878211
"18","pt2",2043.741,2030.98,10.368,256407.251220114,183984.553886624,-73.3261983090181,41.1162774801781
"19","pt2",2043.741,2030.975,10.37,256407.250263308,183984.558799148,-73.3261983207908,41.1162775243675
"20","pt2",2043.738,2030.978,10.366,256407.247893476,183984.555279086,-73.3261983487335,41.1162774925213
"21","pt2",2043.74,2030.976,10.37,256407.249473364,183984.557625794,-73.326198330105,41.1162775137521
"22","pt3",2001.013,2009.189,10.487,256361.152053948,183997.809042568,-73.3267482002558,41.116394116122
"23","pt3",2001.017,2009.19,10.487,256361.156170531,183997.80882346,-73.3267481512261,41.1163941143942
"24","pt3",2001.016,2009.192,10.487,256361.155571948,183997.806667601,-73.3267481581859,41.116394094941
"25","pt3",2001.017,2009.195,10.488,256361.157127337,183997.803910936,-73.3267481394535,41.1163940702049
"26","transect1",1975.534,2000.906,10.128,256334.564331118,184001.084482379,-73.3270650116852,41.1164220306078
"27","transect1",1983.408,1995.395,10.138,256341.236536599,184008.001812739,-73.326986107546,41.1164847324129
"28","transect1",1986.892,1991.039,10.157,256343.82183426,184012.946522079,-73.3269557098634,41.1165294231182
"29","transect1",1987.665,1989.499,9.845,256344.285686804,184014.607105834,-73.3269503158775,41.1165444074795
"30","transect1",1987.227,1990.049,9.96,256343.96112382,184013.983136267,-73.3269541318098,41.1165387680892
"31","transect1",1986.985,1990.458,10.049,256343.801914724,184013.535106315,-73.3269559926505,41.1165347232353
"32","transect1",1987.095,1990.27,10,256343.873882376,184013.740810621,-73.3269551517369,41.1165365802844
"33","transect1",1987.024,1990.381,10.033,256343.825450808,184013.6182023,-73.3269557188671,41.1165354730755
"34","transect1",1987.052,1990.33,10.022,256343.843167929,184013.67365382,-73.3269555122225,41.116535973578
"35","transect1",1985.708,1992.326,10.213,256342.906250836,184011.456073001,-73.3269664954145,41.1165159441756
"36","transect1",1986.347,1991.291,10.177,256343.33524594,184012.594918062,-73.3269614760059,41.1165262272198
"37","transect1",1986.564,1990.836,10.135,256343.461119783,184013.083372002,-73.3269600151933,41.1165306341779
"38","transect1",1986.516,1990.928,10.159,256343.431622372,184012.983820803,-73.3269603586776,41.1165297357718
"39","transect1",1986.529,1990.871,10.149,256343.433471745,184013.042304614,-73.3269603411919,41.1165302626387
"40","transect1",1985.457,1992.723,10.229,256342.735913657,184011.018115463,-73.3269684895286,41.1165119893784
"41","transect1",1985.556,1992.717,10.229,256342.831914711,184011.042904563,-73.3269673484466,41.1165122183811
"42","transect1",1969.11,2007.304,10.136,256329.484755771,183993.572401661,-73.3271249076234,41.1163540670218
"43","transect1",1953.075,2017.446,10.548,256315.690312234,183980.547571397,-73.3272881368305,41.1162359305931
"44","transect1",1962.391,2011.893,10.311,256323.769522742,183987.781371518,-73.3271925052016,41.1163015667855
"45","transect1",1965.737,2009.78,10.271,256326.648623715,183990.495985513,-73.3271584365933,41.1163261888322
"46","transect1",1968.645,2008.024,10.141,256329.166228969,183992.776253358,-73.3271286383422,41.116346877199
"47","transect1",1967.265,2008.829,10.193,256327.966073556,183991.721965124,-73.327142845859,41.1163373097178
"48","transect1",1966.481,2009.018,10.263,256327.232897512,183991.386645945,-73.3271515491754,41.1163342457764
"49","transect1",1966.935,2008.883,10.232,256327.652576327,183991.605929628,-73.3271465694114,41.1163362458879
"50","transect1",1963.856,2011.013,10.289,256325.038737005,183988.925569791,-73.3271774824285,41.1163119481975
"51","transect1",1961.037,2012.826,10.306,256322.619375515,183986.606284756,-73.3272061079499,41.1162909142718
"52","transect1",1958.887,2014.135,10.317,256320.760061147,183984.909860235,-73.3272281137423,41.1162755238031
"53","transect1",1957.212,2015.093,10.379,256319.29969896,183983.648948257,-73.3272454033055,41.1162640797556
"54","transect1",1954.684,2016.71,10.46,256317.128390486,183981.577771273,-73.3272710947004,41.1162452953148
"55","transect1",1955.634,2016.125,10.44,256317.948684123,183982.333843301,-73.3272613867616,41.1162521541255
"56","transect1",1956.368,2015.689,10.417,256318.585528657,183982.902298693,-73.3272538484538,41.1162573121463
"57","transect1",1957.636,2015.13,10.368,256319.722852765,183983.693515647,-73.3272403686252,41.1162645064263
"58","transect1",1956.966,2015.774,10.406,256319.188614922,183982.932913617,-73.3272466703883,41.1162576238889
"59","pt3",2001.018,2009.178,10.488,256361.1548555,183997.820804366,-73.3267481678117,41.1163942222263
"60","transect2",1944.251,1928.29,9.985,256289.970264742,184066.459711453,-73.3276010228754,41.1170081955004
"61","transect2",1942.897,1929.081,10.041,256288.792944208,184065.424140365,-73.3276149599673,41.1169987979653
"62","transect2",1943.418,1928.907,10.05,256289.270907385,184065.69452863,-73.3276092902219,41.1170012618485
"63","transect2",1943.437,1928.776,10.048,256289.264483852,184065.826862887,-73.3276093769589,41.1170024533835
"64","transect2",1943.576,1928.751,10.03,256289.396101252,184065.877953546,-73.3276078138619,41.1170029214069
"65","transect2",1939.692,1931.616,10.076,256286.132961755,184062.321819104,-73.3276463896648,41.1169706969658
"66","transect2",1938.079,1932.621,10.075,256284.742434477,184061.026562054,-73.3276628451006,41.1169589477448
"67","transect2",1937.024,1933.328,10.083,256283.842449868,184060.130585279,-73.3276734910083,41.1169508240725
"68","transect2",1935.265,1934.359,10.094,256282.313627415,184058.78191912,-73.327691588868,41.1169385855476
"69","transect2",1928.314,1940.576,10.069,256276.682267791,184051.347094228,-73.3277580604235,41.1168712848598
"70","transect2",1924.212,1944.708,10.116,256273.447658536,184046.50452114,-73.3277961968272,41.1168274753264
"71","transect2",1922.58,1946.11,10.153,256272.114456902,184044.815583569,-73.3278119392203,41.116812183695
"72","transect2",1921.463,1946.255,10.156,256271.046086304,184044.459941812,-73.3278246318397,41.1168089167031
"73","transect2",1922.323,1945.311,10.159,256271.709363753,184045.551556617,-73.3278168193684,41.1168187883343
"74","transect2",1922.67,1944.771,10.144,256271.94654157,184046.148333858,-73.3278140417497,41.1168241775908
"75","transect2",1909.861,1957.774,10.28,256261.865273575,184030.928237058,-73.3279328911554,41.1166864903018
"76","transect2",1910.356,1954.084,10.271,256261.644896417,184034.648149944,-73.3279358033359,41.1167199819471
"77","transect2",1913.698,1951.863,10.28,256264.499405146,184037.468111055,-73.3279020356923,41.1167455513744
"78","transect2",1915.048,1950.495,10.231,256265.562384978,184039.069823987,-73.3278895038409,41.1167600412549
"79","transect2",1911.114,1953.79,10.296,256262.332465585,184035.081670042,-73.3279276506337,41.1167239276499
"80","transect2",1906.311,1957.896,10.339,256258.40498594,184030.130856781,-73.3279740280697,41.1166791018536
"81","transect2",1902.905,1963.539,10.336,256256.142512108,184023.936550066,-73.3280004853036,41.1166231754471
"82","transect2",1898.482,1963.464,10.364,256251.787846791,184023.166111865,-73.3280522729055,41.1166159762782
"83","transect2",1894.955,1965.868,10.38,256248.786815709,184020.131045281,-73.3280877683938,41.1165884606764
"84","transect2",1890.299,1969.725,10.445,256244.95593897,184015.452930536,-73.3281330167979,41.1165460968084
"85","transect2",1891.019,1968.851,10.411,256245.495228973,184016.449051119,-73.3281266731383,41.1165551009342
"86","transect2",1891.84,1968.457,10.366,256246.225484242,184016.992845192,-73.3281180207563,41.1165600424091
"87","transect2",1891.227,1968.912,10.397,256245.71101351,184016.428814965,-73.3281241024057,41.1165549315497
"88","transect2",1890.95,1969.194,10.42,256245.493155842,184016.098883394,-73.3281266706794,41.1165519468927
"89","transect2",1891.002,1969.031,10.41,256245.512991821,184016.268955828,-73.3281264476917,41.1165534798983
"90","pt3",2001.02,2009.188,10.488,256361.158731724,183997.811361017,-73.3267481209289,41.1163941374026
"91","pt6",1812.084,1940.259,10.557,256162.564494495,184029.476144505,-73.3291150690544,41.1166674843007
"92","pt6",1812.082,1940.256,10.559,256162.5619578,184029.47871032,-73.3291150994555,41.1166675072593
"93","pt6",1812.082,1940.261,10.558,256162.562914607,184029.473797797,-73.3291150876829,41.1166674630699
"94","pt6",1812.081,1940.258,10.563,256162.561359217,184029.476554462,-73.3291151064153,41.116667487806
"95","transect3",1859.326,1874.426,9.813,256196.325428426,184103.173478109,-73.3287188185359,41.1173332823141
"96","transect3",1858.827,1875.137,9.929,256195.971814994,184102.379683476,-73.328722967184,41.1173261115962
"97","transect3",1858.631,1875.282,9.967,256195.807226552,184102.199813842,-73.3287249128576,41.1173244817083
"98","transect3",1858.3,1875.64,10.039,256195.550921859,184101.784906052,-73.3287279323008,41.1173207293861
"99","transect3",1858.409,1875.518,10.031,256195.634538053,184101.925574196,-73.3287269476568,41.1173220013578
"100","transect3",1857.244,1877.188,10.208,256194.810890814,184100.062451933,-73.3287366097151,41.1173051712811
"101","transect3",1857.64,1876.554,10.132,256195.078164625,184100.760936232,-73.3287334816522,41.117311478397
"102","transect3",1857.478,1876.748,10.161,256194.956317267,184100.539412739,-73.3287349152151,41.117309475889
"103","transect3",1857.583,1876.668,10.147,256195.044045415,184100.638052286,-73.3287338783559,41.1173103695598
"104","transect3",1852.225,1889.852,10.426,256192.3091194,184086.662139593,-73.328765357515,41.1171843269816
"105","transect3",1852.559,1888.816,10.385,256192.438625034,184087.74375815,-73.3287638994387,41.1171940767175
"106","transect3",1852.954,1887.31,10.289,256192.53805047,184089.298795741,-73.3287628361973,41.1172080886851
"107","transect3",1852.601,1889.294,10.416,256192.571310566,184087.282136546,-73.3287622838832,41.1171899268682
"108","rand",1880.33,1884.891,9.904,256218.939360564,184096.900162716,-73.3284490873042,41.1172781291381
"109","rand",1878.769,1888.485,10.037,256218.095295615,184093.071125028,-73.3284588400778,41.1172435910834
"110","rand",1875.433,1895.683,10.318,256216.199080003,184085.362382871,-73.3284808191985,41.1171740462041
"111","rand",1869.686,1907.642,10.318,256212.848008622,184072.515798154,-73.3285197218156,41.1170581385674
"112","rand",1887.795,1892.221,10.024,256227.667482888,184091.123092255,-73.3283447211389,41.117226616747
"113","rand",1887.098,1893.336,10.155,256227.196880985,184089.894577559,-73.3283502289741,41.1172155235758
"114","pt7",1857.969,1936.584,10.851,256206.88843405,184041.843965482,-73.3285883000143,41.1167815254077
"115","pt7",1857.975,1936.567,10.858,256206.891068739,184041.861813158,-73.3285882700287,41.1167816863168
"116","pt7",1857.972,1936.571,10.85,256206.888890268,184041.857310591,-73.3285882956169,41.1167816456327
"117","pt7",1857.973,1936.568,10.853,256206.88929749,184041.860448954,-73.3285882910118,41.1167816739239
"118","rand",1956.438,2004.928,10.321,256316.594980871,183993.488391752,-73.3272783687677,41.1163525409748
"119","rand",1960.249,2001.348,10.182,256319.649661739,183997.733085098,-73.3272423282766,41.1163909547389
"120","rand",1964.394,1997.59,10.05,256322.998036254,184002.216407926,-73.3272028095201,41.1164315353398
"121","pt3",2001.025,2009.191,10.489,256361.164212334,183997.809367749,-73.3267480555214,41.1163941197766
"122","rand",1807.946,1649.042,13.973,256102.776183993,184314.808496244,-73.3298490344688,41.1192338691066
"123","rand",1963.782,1986.341,10.044,256320.244853948,184013.151804141,-73.3272364369537,41.1165298647781
"124","rand",1958.501,1989.763,10.175,256315.717419241,184008.781798206,-73.3272900025668,41.1164902344314
"125","rand",1948.254,1994.211,10.32,256306.513159267,184002.455985219,-73.3273990995883,41.1164327092145
"126","rand",2042.812,2039.558,10.162,256407.981084912,183975.948661963,-73.3261889521312,41.1162000175393
"127","rand",2036.656,2052.66,10.314,256404.447385662,183961.901016989,-73.326229936048,41.1160732811992
"128","pt2",2043.735,2030.974,10.368,256407.244184115,183984.558636558,-73.326198393158,41.1162775225402
"129","transect4",2066.802,2044.156,10.024,256432.402477732,183976.009577681,-73.3258981919682,41.1162020238925
"130","transect4",2066.131,2045.253,10.223,256431.953945262,183974.80371015,-73.3259034387967,41.1161911360189
"131","transect4",2066.403,2044.87,10.171,256432.14756891,183975.231920454,-73.3259011666747,41.1161950044138
"132","transect4",2066.62,2044.703,10.152,256432.328554814,183975.437413026,-73.3258990277566,41.1161968660631
"133","transect4",2066.179,2045.562,10.227,256432.060178562,183974.509276944,-73.3259021511446,41.1161884904361
"134","transect4",2066.08,2045.817,10.237,256432.011826477,183974.239844161,-73.3259027059479,41.1161860608019
"135","transect4",2064.529,2048.112,10.332,256430.928996228,183971.688988635,-73.3259154005719,41.1161630209256
"136","transect4",2065.029,2047.441,10.257,256431.291245418,183972.443673927,-73.3259111460737,41.1161698399059
"137","transect4",2064.744,2047.705,10.288,256431.062092804,183972.129900648,-73.3259138500792,41.1161670001105
"138","transect4",2060.264,2054.825,10.333,256428.028337778,183964.279462365,-73.3259493619373,41.1160961110927
"139","transect4",2055.56,2060.857,10.17,256424.566569256,183957.455239028,-73.3259900493338,41.1160344395194
"140","transect4",2052.886,2063.49,10.197,256422.446413313,183954.357973232,-73.3260150521651,41.1160064162757
"141","transect4",2051.44,2065.244,10.273,256421.363093643,183952.358691943,-73.3260277953696,41.1159883443317
"142","transect4",2050.753,2066.218,10.305,256420.875322846,183951.270618909,-73.3260335185061,41.1159785150766
"143","transect4",2050.306,2067.098,10.351,256420.605077351,183950.320705132,-73.3260366624616,41.1159699431889
"144","transect4",2049.484,2069.496,10.381,256420.25732886,183947.80778069,-73.3260406080285,41.1159472888296
"145","transect4",2049.56,2070.055,10.4,256420.438879038,183947.273065075,-73.3260384050174,41.1159424835482
"146","pt1",2160.154,2069.667,10.584,256528.891106092,183968.761054497,-73.3247488215736,41.116142496659
"147","transect5",2154.062,2070.542,9.764,256523.08043553,183966.738709451,-73.3248178475622,41.1161239348109
"148","transect5",2153.729,2071.595,9.925,256522.955164343,183965.640579162,-73.3248192539426,41.1161140366086
"149","transect5",2153.677,2073.617,9.94,256523.291069056,183963.644030398,-73.3248150998537,41.1160960739885
"150","transect5",2153.342,2075.698,10.057,256523.360554695,183961.535503528,-73.3248141091119,41.116077086893
"151","transect5",2153.422,2075.45,10.048,256523.39160151,183961.794432643,-73.3248137595336,41.1160794208889
"152","transect5",2153.58,2075.101,10.028,256523.479862643,183962.167480976,-73.3248127375985,41.1160827861578
"153","transect5",2153.247,2076.672,10.056,256523.45371662,183960.560413227,-73.3248129243309,41.1160683099349
"154","transect5",2152.57,2080.036,10.148,256523.433112428,183957.126062332,-73.324812903446,41.1160373759274
"155","transect5",2151.862,2082.528,10.347,256523.215220703,183954.542539255,-73.3248152974459,41.116014093446
"156","transect5",2152.182,2081.618,10.297,256523.35509959,183955.497690324,-73.3248137060614,41.1160227047238
"157","transect5",2152.233,2080.986,10.269,256523.284205805,183956.128366636,-73.3248145990184,41.1160283809165
"158","transect5",2152.29,2080.747,10.24,256523.29440485,183956.374063676,-73.3248144966313,41.1160305944884
"159","transect5",2151.984,2081.535,10.293,256523.144918156,183955.541450075,-73.324816211906,41.116023086317
"160","transect5",2151.676,2082.995,10.38,256523.122063658,183954.048211583,-73.324816368272,41.1160096355367
"161","transect5",2151.284,2084.003,10.419,256522.930284202,183952.983033905,-73.3248185690644,41.1160000301648
"162","transect5",2151.628,2083.839,10.412,256523.236469959,183953.209816812,-73.3248149411477,41.1160020910466
"163","rand",2197.223,2063.271,10.032,256564.04316422,183982.119744259,-73.3243313311778,41.1162649149376
"164","rand",2197.106,2063.821,10.164,256564.033600229,183981.557037289,-73.3243314014319,41.1162598461341
"165","rand",2133.341,2064.78,10.048,256501.644185069,183968.445315331,-73.3250732031612,41.1161380264888
"166","rand",2133.688,2080.151,10.316,256504.926112835,183953.409459495,-73.3250329625696,41.1160027962737
"167","transect6",2278.14,2058.827,10.091,256642.597033208,184001.928940929,-73.3233975920894,41.1164480227596
"168","transect6",2278.063,2058.429,9.983,256642.445310897,184002.30528243,-73.3233994276895,41.1164514033652
"169","transect6",2278.058,2058.565,10.016,256642.46642951,184002.170707538,-73.3233991658169,41.1164501925262
"170","transect6",2278.237,2059.389,10.122,256642.799764881,184001.395285633,-73.3233951369703,41.1164432282927
"171","transect6",2278.783,2061.207,10.123,256643.683452437,183999.713295666,-73.3233844852759,41.1164281315618
"172","transect6",2278.923,2061.599,10.2,256643.895848812,183999.354872694,-73.3233819286698,41.1164249159677
"173","transect6",2278.843,2061.314,10.146,256643.762806415,183999.619618611,-73.3233835332141,41.1164272925606
"174","transect6",2279.246,2062.015,10.353,256644.292416724,183999.007795013,-73.3233771801684,41.1164218135524
"175","transect6",2279.21,2061.831,10.301,256644.221879252,183999.181705315,-73.3233780334785,41.1164233757309
"176","transect6",2279.564,2062.369,10.438,256644.672213708,183998.72067838,-73.3233726359918,41.1164192501979
"177","transect6",2279.354,2062.094,10.384,256644.413515238,183998.950788852,-73.3233757339321,41.1164213073332
"178","transect6",2279.41,2062.293,10.43,256644.506549235,183998.765957963,-73.3233746119284,41.1164196481371
"179","transect6",2279.391,2062.214,10.409,256644.472786891,183998.839949703,-73.3233750196433,41.1164203125564
"180","transect6",2279.064,2061.579,10.2,256644.030385629,183999.401432528,-73.3233803304626,41.1164253433568
"181","transect6",2279.099,2061.714,10.25,256644.090565092,183999.275474109,-73.3233796041933,41.1164242124569
"182","transect6",2279.067,2061.667,10.235,256644.050169341,183999.315544657,-73.3233800882573,41.1164245709562
"183","pt1",2160.132,2069.695,10.584,256528.874875493,183968.729345681,-73.3247490123598,41.1161422100928
"184","pt1",2160.136,2069.697,10.583,256528.879183437,183968.728144069,-73.3247489609756,41.1161421995271
